FIPS,recent_trend,prediction_trend,O3_max_pred,PM25_max_pred
1101,falling,falling,41.874164658321924,12.55516399921768
1103,stable,stable,43.308170363583024,13.287900786231177
1105,stable,stable,39.80505678623118,11.426605126344612
1107,stable,stable,39.97995260101702,11.594499189712499
1109,stable,stable,40.69054615137884,11.352271254253864
1111,stable,stable,42.185897920398986,12.434969452180715
1113,stable,stable,41.742807246821826,12.655007973792294
1115,stable,stable,42.42229108898886,13.63978953921377
1117,stable,stable,42.77604286309407,14.111519831214551
1119,stable,stable,39.44073601897125,11.264915896538236
1121,stable,stable,42.82971993291609,13.321503921376882
1123,stable,stable,42.1271992646196,12.25612842871113
1125,stable,stable,41.326122513788384,12.744883395266966
1127,stable,stable,42.4319208511637,13.408380616467827
1129,stable,stable,40.74125649911989,10.830124132016428
1131,stable,stable,39.823570015646396,11.160117888715039
1133,stable,stable,41.89715836905926,12.41642101779777
2185,stable,stable,42.949110360453744,12.409083286133386
2261,stable,stable,40.28061685390182,10.930119629376101
4011,stable,stable,43.79784000136906,9.042405570115392
4013,falling,falling,44.58198686133385,10.203860048699394
4015,stable,stable,43.727700761979264,9.255541692157246
4017,stable,stable,44.34850255427342,10.17272525894778
4019,stable,stable,45.517420772345,9.885815409935459
4021,falling,falling,44.10418223684725,10.828416044396636
4023,stable,stable,42.69268946235087,10.254146040876199
4025,stable,stable,44.296788678466655,6.401291516526501
4027,stable,stable,44.603012933698416,10.374357309407394
5011,stable,stable,38.67138957617837,8.999024399374145
5013,stable,stable,38.00875833385488,8.899494669078818
5015,stable,stable,38.73665763856836,8.034613711128497
5017,stable,stable,38.68129941854097,8.358044431840407
5019,stable,stable,38.34375548171328,8.270786718951692
5021,stable,stable,39.589952352239386,9.02041753647565
5023,stable,stable,39.35913268707217,8.224744909446509
5025,stable,stable,40.27898059182476,8.889636321533345
5027,stable,stable,39.28784173459808,8.724612654410326
5101,stable,stable,42.981791180715824,9.847537013690593
5103,stable,stable,40.279423686289846,11.089376642088794
5105,stable,stable,41.629267617054566,11.919570917660865
5107,stable,stable,42.13948992880891,11.76333892646196
5109,stable,stable,41.46952624779973,10.91745357207119
5111,stable,stable,42.539811918052024,11.520389514961861
5113,stable,stable,41.07235862517113,11.644140529630354
5115,stable,stable,43.18837617445727,11.554392089282222
5117,stable,stable,41.97392788900841,10.699039170936828
5119,stable,stable,42.98658765362801,12.172649362702913
5121,stable,stable,42.63287544729122,10.825974751026795
5123,stable,stable,42.82501310815568,11.579576603461764
5125,stable,stable,42.21776848572267,11.475241256014082
5127,stable,stable,42.337846094758454,10.799922859280267
5129,stable,stable,42.2264311030706,10.535946455603364
5131,stable,stable,42.88525599354586,11.463803195188735
5133,stable,stable,42.30807624965774,11.020666325249364
5135,stable,stable,42.846359882163114,10.923644024349697
5137,stable,stable,42.13656562458439,10.816827987971836
5139,stable,stable,40.460892395853705,11.330135421474672
5141,stable,stable,42.48899148474477,11.583860676902015
5143,stable,stable,42.91144083581068,11.315197091238021
5145,stable,stable,42.71033837756699,11.0609883161549
5147,stable,stable,42.21893990680618,11.270602361627224
5149,stable,stable,42.037539007334246,11.14870325767651
6101,stable,stable,42.920918000782315,10.618837315470369
6103,falling,falling,44.38632077097594,9.458949718560532
6105,stable,stable,38.43980512947389,8.213464310641628
6107,falling,falling,57.002334979072955,16.929741221722114
6109,stable,stable,51.60805478349306,10.57687131331899
6111,falling,falling,53.15267410111481,13.284976274594172
6113,stable,stable,41.1314570058674,11.3677980009779
6115,stable,stable,47.29410726207706,10.416607044787796
8101,stable,stable,47.373303470174065,6.959787558185019
8105,stable,stable,46.22377276373948,5.1753515752004695
8107,stable,stable,47.88721440602386,5.803551654997066
8109,stable,stable,46.2388360807745,4.973464307647173
8119,stable,stable,47.92551675454723,5.767686931742618
8123,stable,stable,47.241663694504204,9.242889309994133
8125,stable,stable,43.03055264678271,6.959939261099159
12101,stable,stable,43.72274527752787,9.566307656170546
12103,stable,stable,42.6160867363583,9.599916539018189
12105,falling,falling,43.00421835830237,9.568037864267554
12107,stable,stable,41.208200120477215,9.042708199530516
12109,stable,stable,42.64356674867984,9.281120413455897
12111,stable,stable,39.504266491883435,7.363607159397613
12113,stable,stable,44.41951114707608,11.315450680226872
12115,stable,stable,41.89382570252298,8.756178799921768
12117,falling,falling,41.65234021063955,8.908858743594758
12119,falling,falling,42.04392132231567,9.224351179151183
12121,stable,stable,40.04602094152161,10.071126794445531
12123,stable,stable,39.795817144533544,9.535691171327988
12125,stable,stable,39.7469615574027,9.271944837864266
12127,stable,stable,42.562120730882064,8.681382197340113
12129,stable,stable,39.83304458458831,9.858345486016038
12131,stable,stable,43.346592069235285,10.38431720398983
